Open Time;Order;Symbol;Type;Volume;;Price;S / L;T / P;Time;;State;Comment;
2025.12.05 17:15:00;588;GOLD;buy;0.01 / 0.01;;0.00;4 200.00;4 285.00;2025.12.05 17:15:00;;filled;Grip;
2025.12.05 18:10:00;589;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.05 18:10:00;;filled;;
2025.12.05 18:10:00;590;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.05 18:10:00;;filled;;
2025.12.05 18:10:01;591;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.05 18:10:01;;filled;;
2025.12.11 23:06:01;592;GOLD;buy;0.01 / 0.01;;0.00;4 234.00;4 319.00;2025.12.11 23:06:01;;filled;Grip;
2025.12.12 01:14:01;593;GOLD;buy;0.01 / 0.01;;0.00;4 242.68;4 327.68;2025.12.12 01:14:01;;filled;Grip;
2025.12.12 04:41:00;594;GOLD;buy;0.01 / 0.01;;0.00;4 236.02;4 321.02;2025.12.12 04:41:00;;filled;Grip;
2025.12.12 09:02:55;595;GOLD;buy;0.01 / 0.01;;0.00;4 242.48;4 327.48;2025.12.12 09:02:55;;filled;Grip;
2025.12.12 11:56:09;596;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.12 11:56:09;;filled;tp 4319.00;
2025.12.12 12:21:17;597;GOLD;buy;0.01 / 0.01;;0.00;4 279.85;4 364.85;2025.12.12 12:21:17;;filled;Grip;
2025.12.12 12:21:49;598;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.12 12:21:49;;filled;tp 4321.02;
2025.12.12 12:44:35;599;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.12 12:44:35;;filled;tp 4327.48;
2025.12.12 12:44:35;600;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.12 12:44:35;;filled;tp 4327.68;
2025.12.12 13:31:00;601;GOLD;buy;0.01 / 0.01;;0.00;4 294.23;4 379.23;2025.12.12 13:31:00;;filled;Grip;
2025.12.12 16:01:00;602;GOLD;buy;0.01 / 0.01;;0.00;4 300.41;4 385.41;2025.12.12 16:01:00;;filled;Grip;
2025.12.12 17:20:58;603;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.12 17:20:58;;filled;;
2025.12.12 17:20:58;604;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.12 17:20:58;;filled;;
2025.12.12 17:20:58;605;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.12 17:20:58;;filled;;
2025.12.15 11:04:05;606;GOLD;buy;0.01 / 0.01;;0.00;4 305.94;4 390.94;2025.12.15 11:04:05;;filled;Grip;
2025.12.15 14:27:00;607;GOLD;buy;0.01 / 0.01;;0.00;4 304.93;4 389.93;2025.12.15 14:27:00;;filled;Grip;
2025.12.15 17:01:03;608;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.15 17:01:03;;filled;;
2025.12.15 17:01:04;609;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.15 17:01:04;;filled;;
2025.12.17 23:16:09;610;GOLD;buy;0.01 / 0.01;;0.00;4 305.28;4 390.28;2025.12.17 23:16:09;;filled;Grip;
2025.12.18 03:25:22;611;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.18 03:25:22;;filled;;
2025.12.22 06:19:00;612;GOLD;buy;0.01 / 0.01;;0.00;4 354.81;4 439.81;2025.12.22 06:19:00;;filled;Grip;
2025.12.22 08:07:00;613;GOLD;buy;0.01 / 0.01;;0.00;4 361.07;4 446.07;2025.12.22 08:07:00;;filled;Grip;
2025.12.22 09:14:02;614;GOLD;buy;0.01 / 0.01;;0.00;4 371.45;4 456.45;2025.12.22 09:14:02;;filled;Grip;
2025.12.22 18:18:32;615;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.22 18:18:32;;filled;tp 4439.81;
2025.12.22 18:40:00;616;GOLD;buy;0.01 / 0.01;;0.00;4 397.17;4 482.17;2025.12.22 18:40:00;;filled;Grip;
2025.12.22 21:59:00;617;GOLD;buy;0.01 / 0.01;;0.00;4 393.86;4 478.86;2025.12.22 21:59:00;;filled;Grip;
2025.12.22 23:26:49;618;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.22 23:26:49;;filled;tp 4446.07;
2025.12.22 23:55:00;619;GOLD;buy;0.01 / 0.01;;0.00;4 405.33;4 490.33;2025.12.22 23:55:00;;filled;Grip;
2025.12.23 01:15:28;620;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.23 01:15:28;;filled;tp 4456.45;
2025.12.23 03:04:42;621;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.23 03:04:42;;filled;tp 4478.86;
2025.12.23 03:10:03;622;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.23 03:10:03;;filled;tp 4482.17;
2025.12.23 03:38:00;623;GOLD;buy;0.01 / 0.01;;0.00;4 444.75;4 529.75;2025.12.23 03:38:00;;filled;Grip;
2025.12.23 03:55:02;624;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.23 03:55:02;;filled;tp 4490.33;
2025.12.23 04:59:59;625;GOLD;buy;0.01 / 0.01;;0.00;4 452.94;4 537.94;2025.12.23 04:59:59;;filled;Grip;
2025.12.23 07:07:01;626;GOLD;buy;0.01 / 0.01;;0.00;4 444.85;4 529.85;2025.12.23 07:07:01;;filled;Grip;
2025.12.23 08:12:08;627;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.23 08:12:08;;filled;;
2025.12.23 08:12:08;628;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.23 08:12:08;;filled;;
2025.12.23 08:12:08;629;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.23 08:12:08;;filled;;
2025.12.26 18:22:00;630;GOLD;buy;0.01 / 0.01;;0.00;4 503.41;4 588.41;2025.12.26 18:22:00;;filled;Grip;
2025.12.26 21:07:46;631;GOLD;buy;0.01 / 0.01;;0.00;4 488.89;4 573.89;2025.12.26 21:07:46;;filled;Grip;
2025.12.26 21:43:13;632;GOLD;buy;0.01 / 0.01;;0.00;4 487.81;4 572.81;2025.12.26 21:43:13;;filled;Grip;
2025.12.29 02:20:32;633;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.29 02:20:32;;filled;;
2025.12.29 02:20:32;634;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.29 02:20:32;;filled;;
2025.12.29 02:20:32;635;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.29 02:20:32;;filled;;
2026.01.05 12:59:20;636;GOLD;buy;0.01 / 0.01;;0.00;4 396.65;4 481.65;2026.01.05 12:59:20;;filled;Grip;
2026.01.05 13:39:00;637;GOLD;buy;0.01 / 0.01;;0.00;4 381.86;4 466.86;2026.01.05 13:39:00;;filled;Grip;
2026.01.05 14:42:56;638;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.05 14:42:56;;filled;;
2026.01.05 14:42:56;639;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.05 14:42:56;;filled;;
2026.01.06 10:49:00;640;GOLD;buy;0.01 / 0.01;;0.00;4 426.25;4 511.25;2026.01.06 10:49:00;;filled;Grip;
2026.01.06 12:03:14;641;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.06 12:03:14;;filled;;
2026.01.06 20:04:33;642;GOLD;buy;0.01 / 0.01;;0.00;4 449.76;4 534.76;2026.01.06 20:04:33;;filled;Grip;
2026.01.06 21:46:00;643;GOLD;buy;0.01 / 0.01;;0.00;4 443.98;4 528.98;2026.01.06 21:46:00;;filled;Grip;
